*
*
*Day Ahead Generation forecasts For Wind And Solar Service (B1440) Data
*
*Time Series ID,Business Type,Power System Resource  Type,Settlement Date,Process Type,Settlement Period,Quantity,Document Type,Curve Type,Resolution,Active Flag,Document ID,Document RevNum
NGET-EMFIP-DGWS-TS-06236554,Solar generation,"Solar",2021-05-25,Day Ahead,26,5175,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236552,Wind generation,"Wind Offshore",2021-05-25,Day Ahead,26,5458.555,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236553,Wind generation,"Wind Onshore",2021-05-25,Day Ahead,26,3848.765,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236554,Solar generation,"Solar",2021-05-25,Day Ahead,25,5073,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236552,Wind generation,"Wind Offshore",2021-05-25,Day Ahead,25,5458.555,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236553,Wind generation,"Wind Onshore",2021-05-25,Day Ahead,25,3848.765,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236554,Solar generation,"Solar",2021-05-25,Day Ahead,24,4882,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236552,Wind generation,"Wind Offshore",2021-05-25,Day Ahead,24,5474.744,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236553,Wind generation,"Wind Onshore",2021-05-25,Day Ahead,24,3823.578,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236554,Solar generation,"Solar",2021-05-25,Day Ahead,23,4526,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
