*
*
*Day Ahead Generation forecasts For Wind And Solar Service (B1440) Data
*
*Time Series ID,Business Type,Power System Resource  Type,Settlement Date,Process Type,Settlement Period,Quantity,Document Type,Curve Type,Resolution,Active Flag,Document ID,Document RevNum
NGET-EMFIP-DGWS-TS-06236557,Solar generation,"Solar",2021-05-26,Day Ahead,25,6198,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236555,Wind generation,"Wind Offshore",2021-05-26,Day Ahead,25,2798.713,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236556,Wind generation,"Wind Onshore",2021-05-26,Day Ahead,25,1800.224,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236557,Solar generation,"Solar",2021-05-26,Day Ahead,24,6058,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236555,Wind generation,"Wind Offshore",2021-05-26,Day Ahead,24,2936.221,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236556,Wind generation,"Wind Onshore",2021-05-26,Day Ahead,24,1779.336,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236557,Solar generation,"Solar",2021-05-26,Day Ahead,23,5784,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236555,Wind generation,"Wind Offshore",2021-05-26,Day Ahead,23,2936.221,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236556,Wind generation,"Wind Onshore",2021-05-26,Day Ahead,23,1779.336,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236557,Solar generation,"Solar",2021-05-26,Day Ahead,22,5413,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236555,Wind generation,"Wind Offshore",2021-05-26,Day Ahead,22,3079.967,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236556,Wind generation,"Wind Onshore",2021-05-26,Day Ahead,22,1722.91,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236557,Solar generation,"Solar",2021-05-26,Day Ahead,21,4989,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236555,Wind generation,"Wind Offshore",2021-05-26,Day Ahead,21,3079.967,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236556,Wind generation,"Wind Onshore",2021-05-26,Day Ahead,21,1722.91,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236557,Solar generation,"Solar",2021-05-26,Day Ahead,20,4499,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236555,Wind generation,"Wind Offshore",2021-05-26,Day Ahead,20,3041.884,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236556,Wind generation,"Wind Onshore",2021-05-26,Day Ahead,20,1646.435,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236557,Solar generation,"Solar",2021-05-26,Day Ahead,19,3926,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236555,Wind generation,"Wind Offshore",2021-05-26,Day Ahead,19,3041.884,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236556,Wind generation,"Wind Onshore",2021-05-26,Day Ahead,19,1646.435,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236557,Solar generation,"Solar",2021-05-26,Day Ahead,18,3314,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236555,Wind generation,"Wind Offshore",2021-05-26,Day Ahead,18,3008.219,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236556,Wind generation,"Wind Onshore",2021-05-26,Day Ahead,18,1583.51,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236557,Solar generation,"Solar",2021-05-26,Day Ahead,17,2711,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
